study_id,table_id,column_id,of_variable,is_type,with_entry,information_from,has_status,note
ISCN3,layer,ecec (specified by cec_h_units),effective CEC,description,Effective CEC,metadata,per-alpha,Check to see if we can get a better description of these valiables
ISCN3,layer,ecec (specified by cec_h_units),effective CEC,value,--,metadata,per-alpha,Check to see if we can get a better description of these valiables
ISCN3,layer,cec_h_units (extract_units),cec_units,unit,--,metadata,per-alpha,Check to see if we can get a better description of these valiables
ISCN3,layer,bs (percent),base_saturation,description,Base saturation,metadata,per-alpha,Check to see if we can get a better description of these valiables
ISCN3,layer,bs (percent),base_saturation,value,--,metadata,per-alpha,Check to see if we can get a better description of these valiables
ISCN3,layer,bs_sum (percent),base_saturation_sum,description,"Base saturation, sum of cations",metadata,per-alpha,Check to see if we can get a better description of these valiables
ISCN3,layer,bs_sum (percent),base_saturation_sum,value,--,metadata,per-alpha,Check to see if we can get a better description of these valiables
ISCN3,layer,h_ext (specified by metal_ext_units),hydrogen_extractable,description,Extractable acidity,metadata,alpha,
ISCN3,layer,h_ext (specified by metal_ext_units),hydrogen_extractable,value,--,metadata,alpha,
ISCN3,layer,metal_ext_units (extract_units),hydrogen_extractable,unit,--,metadata,alpha,
ISCN3,layer,metal_ext_method,hydrogen_extractable,method,--,metadata,alpha,
ISCN3,layer,zn_ext (specified by metal_ext_units),zinc_extractable,description,Extractable [Zn],metadata,alpha,
ISCN3,layer,zn_ext (specified by metal_ext_units),zinc_extractable,value,--,metadata,alpha,
ISCN3,layer,metal_ext_units (extract_units),zinc_extractable,unit,--,metadata,alpha,
ISCN3,layer,metal_ext_method,zinc_extractable,method,--,metadata,alpha,
ISCN3,layer,p_bray (specified by p_units),phosphorus_bray,description,Extractable [P] (Bray),metadata,alpha,
ISCN3,layer,p_bray (specified by p_units),phosphorus_bray,value,--,metadata,alpha,
ISCN3,layer,p_bray (specified by p_units),phosphorus_bray,method,Bray Phosphorus extraction protocol,metadata,alpha,
ISCN3,layer,p_units (extract_units),phosphorus_bray,unit,--,metadata,alpha,
ISCN3,layer,p_method,phosphorus_bray,method,--,metadata,alpha,
ISCN3,layer,p_ox (specified by p_units),phosphorus_oxalate,description,Extractable [P] (Oxalate),metadata,alpha,
ISCN3,layer,p_ox (specified by p_units),phosphorus_oxalate,value,--,metadata,alpha,
ISCN3,layer,p_units (extract_units),phosphorus_oxalate,unit,--,metadata,alpha,
ISCN3,layer,p_ox (specified by p_units),phosphorus_oxalate,method,--,metadata,alpha,
ISCN3,layer,p_method,phosphorus_oxalate,method,Oxalate extraction,,,
